Code,Description,Abbreviation
A66.6,"Bone and joint lesions of yaws Ganglion Hydrarthrosis of yaws (early) (late) Osteitis Periostitis (hypertrophic) Goundou Gumma, bone of yaws (late) Gummatous osteitis or periostitis",BJL
A66.7,Other manifestations of yaws Juxta-articular nodules of yaws Mucosal yaws,MYJ
A66.8,"Latent yaws Yaws without clinical manifestations, with positive serology",LYY
A66.9,"Yaws, unspecified",YAWS NOS
A67,Pinta [carate],PINT
A67.0,Primary lesions of pinta Chancre (primary) of pinta [carate] Papule (primary),PLP
A67.1,Intermediate lesions of pinta Erythematous plaques Hyperchromic lesions of pinta [carate] Hyperkeratosis Pintids,ILP
A67.2,Late lesions of pinta Cardiovascular lesions† (I98.1*) Skin lesions: • achromic of pinta [carate] • cicatricial • dyschromic,LLP
A67.3,Mixed lesions of pinta Achromic with hyperchromic skin lesions of pinta [carate],MLP
A67.9,"Pinta, unspecified",PINT NOS
A68,Relapsing fevers,RF
A68.0,Louse-borne relapsing fever Relapsing fever due to Borrelia recurrentis,LRF
A68.1,Tick-borne relapsing fever Relapsing fever due to any Borrelia species other than Borrelia recurrentis,TRF
A68.9,"Relapsing fever, unspecified",RF NOS
A69,Other spirochaetal infections,SI
A69.0,Necrotizing ulcerative stomatitis Cancrum oris Fusospirochaetal gangrene Noma Stomatitis gangrenosa,NUS NOS
A69.1,Other Vincent infections Fusospirochaetal pharyngitis Necrotizing ulcerative (acute): • gingivitis • gingivostomatitis Spirochaetal stomatitis Trench mouth Vincent: • angina • gingivitis,VIF
A69.2,Lyme disease Erythema chronicum migrans due to Borrelia burgdorferi,LDE
A69.8,Other specified spirochaetal infections,SI
A69.9,"Spirochaetal infection, unspecified Other diseases caused by chlamydiae (A70–A74)",SID NOS
A70,Chlamydia psittaci infection,CPI
A70–A74,Other diseases caused by chlamydiae,DCB
A71,Trachoma,TRAC
A71.0,Initial stage of trachoma Trachoma dubium,IST
A71.1,Active stage of trachoma Granular conjunctivitis (trachomatous) Trachomatous: • follicular conjunctivitis • pannus,AST
A71.9,"Trachoma, unspecified",TRAC NOS
A74,Other diseases caused by chlamydiae,DCB
A74.0†,Chlamydial conjunctivitis (H13.1*) Paratrachoma,CCP
A74.8,Other chlamydial diseases Chlamydial peritonitis† (K67.0*),CDC
A74.9,"Chlamydial infection, unspecified Chlamydiosis NOS Rickettsioses (A75–A79)",CIC NOS
A75,Typhus fever,TF
A75.0,Epidemic louse-borne typhus fever due to Rickettsia prowazekii Classical typhus (fever) Epidemic (louse-borne) typhus,ELT
A75.1,Recrudescent typhus [Brill disease] Brill-Zinsser disease,RTB
A75.2,Typhus fever due to Rickettsia typhi Murine (flea-borne) typhus,TFR
A75.3,Typhus fever due to Rickettsia tsutsugamushi Scrub (mite-borne) typhus Tsutsugamushi fever,TFR
A75.9,"Typhus fever, unspecified Typhus (fever) NOS",TFT NOS
A75–A79,Rickettsioses,RICK
A77,Spotted fever [tick-borne rickettsioses],SF
A77.0,Spotted fever due to Rickettsia rickettsii Rocky Mountain spotted fever Sao Paulo fever,SFR
A77.1,Spotted fever due to Rickettsia conorii African tick typhus Boutonneuse fever India tick typhus Kenya tick typhus Marseilles fever Mediterranean tick fever,SFR
A77.2,Spotted fever due to Rickettsia sibirica North Asian tick fever Siberian tick typhus,SFR
A77.3,Spotted fever due to Rickettsia australis Queensland tick typhus,SFR
A77.8,Other spotted fevers,SF
A77.9,"Spotted fever, unspecified Tick-borne typhus NOS",SFT NOS
A78,Q fever,QF
A79,Other rickettsioses,RICK
A79.0,Trench fever Quintan fever Wolhynian fever,TFQ
A79.1,Rickettsialpox due to Rickettsia akari Kew Garden fever Vesicular rickettsiosis,RRA
A79.8,Other specified rickettsioses Rickettsiosis due to Neorickettsia sennetsu [Ehrlichia sennetsu],RRN
A79.9,"Rickettsiosis, unspecified Rickettsial infection NOS",RRI NOS
A80,Acute poliomyelitis,AP
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",APP
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",APP
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",APP
A80.3,"Acute paralytic poliomyelitis, other and unspecified",APP NOS
A80.4,Acute nonparalytic poliomyelitis,ANP
A80.9,"Acute poliomyelitis, unspecified",AP NOS
A80–A89,Viral infections of the central nervous system,VIC
A81,Atypical virus infections of central nervous system,AVI
A81.0,Creutzfeldt–Jakob disease Subacute spongiform encephalopathy,CDS
A81.1,Subacute sclerosing panencephalitis Dawson inclusion body encephalitis Van Bogaert sclerosing leukoencephalopathy,SSP
A81.2,Progressive multifocal leukoencephalopathy Multifocal leukoencephalopathy NOS,PML NOS
A81.8,Other atypical virus infections of central nervous system Kuru,AVI
A81.9,"Atypical virus infection of central nervous system, unspecified Prion disease of central nervous system NOS",AVI NOS
A82,Rabies,RABI
A82.0,Sylvatic rabies,SR
A82.1,Urban rabies,UR
A82.9,"Rabies, unspecified",RABI NOS
A83,Mosquito-borne viral encephalitis,MVE
A83.0,Japanese encephalitis,JE
A83.1,Western equine encephalitis,WEE
A83.2,Eastern equine encephalitis,EEE
A83.3,St Louis encephalitis,SLE
A83.4,Australian encephalitis Kunjin virus disease,AEK
A83.5,California encephalitis California meningoencephalitis La Crosse encephalitis,CEC
A83.6,Rocio virus disease,RVD
A83.8,Other mosquito-borne viral encephalitis,MVE
A83.9,"Mosquito-borne viral encephalitis, unspecified",MVE NOS
A84,Tick-borne viral encephalitis,TVE
A84.0,Far Eastern tick-borne encephalitis [Russian spring–summer encephalitis],FET
A84.1,Central European tick-borne encephalitis,CET
A84.8,Other tick-borne viral encephalitis Louping ill Powassan virus disease,TVE
A84.9,"Tick-borne viral encephalitis, unspecified",TVE NOS
A85,"Other viral encephalitis, not elsewhere classified",VEN
A85.0†,Enteroviral encephalitis (G05.1*) Enteroviral encephalomyelitis,EEE
A85.1†,Adenoviral encephalitis (G05.1*) Adenoviral meningoencephalitis,AEA
A85.2,"Arthropod-borne viral encephalitis, unspecified",AVE NOS
A85.8,Other specified viral encephalitis Encephalitis lethargica Von Economo–Cruchet disease,VEE
A86,Unspecified viral encephalitis,VE NOS
A87,Viral meningitis,VM
A87.0†,Enteroviral meningitis (G02.0*) Coxsackievirus meningitis Echovirus meningitis,EMC
A87.1†,Adenoviral meningitis (G02.0*),AM
A87.2,Lymphocytic choriomeningitis Lymphocytic meningoencephalitis,LCL
A87.8,Other viral meningitis,VM
A87.9,"Viral meningitis, unspecified",VM NOS
A88,"Other viral infections of central nervous system, not elsewhere classified",VIC
A88.0,Enteroviral exanthematous fever [Boston exanthem],EEF
A88.1,Epidemic vertigo,EV
A88.8,Other specified viral infections of central nervous system,VIC
A89,Unspecified viral infection of central nervous system,VIC NOS
A90–A99,Arthropod-borne viral fevers and viral haemorrhagic fevers,AVF
A92,Other mosquito-borne viral fevers,MVF
A92.0,Chikungunya virus disease Chikungunya (haemorrhagic) fever,CVD
A92.1,O’nyong-nyong fever,OF
A92.2,Venezuelan equine fever Venezuelan equine: • encephalitis • encephalomyelitis virus disease,VEF
A92.3,West Nile virus infection West Nile fever,WNV
A92.4,Rift Valley fever,RVF
A92.8,Other specified mosquito-borne viral fevers,MVF
A92.9,"Mosquito-borne viral fever, unspecified",MVF NOS
A93,"Other arthropod-borne viral fevers, not elsewhere classified",AVF
A93.0,Oropouche virus disease Oropouche fever,OVD
A93.1,Sandfly fever Pappataci fever Phlebotomus fever,SFP
A93.2,Colorado tick fever,CTF
A93.8,Other specified arthropod-borne viral fevers Piry virus disease Severe fever with thrombocytopenia syndrome [SFTS] Vesicular stomatitis virus disease [Indiana fever],AVF
A94,Unspecified arthropod-borne viral fever,AVF NOS
A95,Yellow fever,YF
A95.0,Sylvatic yellow fever Jungle yellow fever,SYF
A95.1,Urban yellow fever,UYF
A95.9,"Yellow fever, unspecified",YF NOS
A96,Arenaviral haemorrhagic fever,AHF
A96.0,Junin haemorrhagic fever Argentinian haemorrhagic fever,JHF
A96.1,Machupo haemorrhagic fever Bolivian haemorrhagic fever,MHF
A96.2,Lassa fever,LF
A96.8,Other arenaviral haemorrhagic fevers,AHF
A96.9,"Arenaviral haemorrhagic fever, unspecified",AHF NOS
A97,"Dengue Dengue is a viral disease transmitted by the bite of a mosquito infected by dengue viruses. It is one disease entity with different clinical presentations and often with unpredictable clinical evolution and outcome. Most patients recover following a self-limiting non-severe clinical course like nausea, vomiting, rash, aches and pains, but a small proportion progress to severe disease, mostly characterized by plasma leakage with or without haemorrhage, although severe haemorrhages or severe organ impairment can occur, with or without dengue shock.",DDI
A97.0,Dengue without warning signs,DWW
A97.1,"Dengue with warning signs Clinical warning signs are: abdominal pain or tenderness, mucosal bleeding, lethargy and/or restlessness, rapid decrease in platelet count, increase in haematocrit. Other signs can include: persistent vomiting, visible fluid accumulation, liver enlargement more than 2 cm.",DWS
A97.2,"Severe dengue Clinical signs include: 1. severe plasma leakage leading to shock (dengue shock syndrome – DSS) and/or fluid accumulation with respiratory distress; 2. severe bleeding as evaluated by clinician; 3. severe organ involvement: liver aspartate transaminase (AST) or alanine aminotransferase (ALT) 1000, CNS: impaired consciousness (encephalitis), involvement of other organs, as myocarditis or nephritis",SDC
A97.9,"Dengue, unspecified",DENG NOS
A98,"Other viral haemorrhagic fevers, not elsewhere classified",VHF
A98.0,Crimean-Congo haemorrhagic fever Central Asian haemorrhagic fever,CHF
A98.1,Omsk haemorrhagic fever,OHF
A98.2,Kyasanur Forest disease,KFD
A98.3,Marburg virus disease,MVD
A98.4,Ebola virus disease,EVD
A98.5,Haemorrhagic fever with renal syndrome Haemorrhagic fever: • epidemic • Korean • Russian Hantaanvirus disease Hantaanvirus disease with renal manifestations Nephropathia epidemica,HFR
A98.8,Other specified viral haemorrhagic fevers,VHF
A99,Unspecified viral haemorrhagic fever,VHF NOS
B00,Herpesviral [herpes simplex] infections,HI
B00.0,Eczema herpeticum Kaposi varicelliform eruption,EHK
B00.1,Herpesviral vesicular dermatitis Herpes simplex: • facialis • labialis Vesicular dermatitis of: • ear due to human (alpha) herpes virus 2 • lip,HVD
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis Herpesviral pharyngitis,HGP
B00.3†,Herpesviral meningitis (G02.0*),HM
B00.4†,Herpesviral encephalitis (G05.1*) Herpesviral meningoencephalitis Simian B disease,HEH
B00.5,"Herpesviral ocular disease Herpesviral: • conjunctivitis† (H13.1*) • dermatitis of eyelid† (H03.1*) • iridocyclitis† (H22.0*) • iritis† (H22.0*) • keratitis† (H19.1*) • keratoconjunctivitis† (H19.1*) • uveitis, anterior† (H22.0*)",HOD
B00.7,Disseminated herpesviral disease Herpesviral sepsis,DHD
B00.8,Other forms of herpesviral infection Herpesviral: • hepatitis† (K77.0*) • whitlow† (L99.8*),FHI
B00.9,"Herpesviral infection, unspecified Herpes simplex infection NOS",HIH NOS
B00–B09,Viral infections characterized by skin and mucous membrane lesions,VIC
B01,Varicella [chickenpox],VARI
B01.0†,Varicella meningitis (G02.0*),VM
B01.1†,Varicella encephalitis (G05.1*) Postchickenpox encephalitis Varicella encephalomyelitis,VEP
B01.2†,Varicella pneumonia (J17.1*),VP
B01.8,Varicella with other complications,VC
B01.9,Varicella without complication Varicella NOS,VWC NOS
B02,Zoster [herpes zoster],ZOST
B02.0†,Zoster encephalitis (G05.1*) Zoster meningoencephalitis,ZEZ
B02.1†,Zoster meningitis (G02.0*),ZM
B02.2†,Zoster with other nervous system involvement Postherpetic: • geniculate ganglionitis (G53.0*) • polyneuropathy (G63.0*) • trigeminal neuralgia (G53.0*),ZNS
B02.3,Zoster ocular disease Zoster: • blepharitis† (H03.1*) • conjunctivitis† (H13.1*) • iridocyclitis† (H22.0*) • iritis† (H22.0*) • keratitis† (H19.2*) • keratoconjunctivitis† (H19.2*) • scleritis† (H19.0*),ZOD
B02.7,Disseminated zoster,DZ
B02.8,Zoster with other complications,ZC
B02.9,Zoster without complication Zoster NOS,ZWC NOS
B03,Smallpox1,SMAL
B04,"Monkeypox 1 In 1980, the 33rd World Health Assembly declared that smallpox had been eradicated. The classification is maintained for surveillance purposes.",M1I
B05,Measles,MEAS
B05.0†,Measles complicated by encephalitis (G05.1*) Postmeasles encephalitis,MCB
B05.1†,Measles complicated by meningitis (G02.0*) Postmeasles meningitis,MCB
B05.2†,Measles complicated by pneumonia (J17.1*) Postmeasles pneumonia,MCB
B05.3†,Measles complicated by otitis media (H67.1*) Postmeasles otitis media,MCB
B05.4,Measles with intestinal complications,MIC
B05.8,Measles with other complications Measles keratitis and keratoconjunctivitis† (H19.2*),MCM
B05.9,Measles without complication Measles NOS,MWC NOS
B06,Rubella [German measles],RUBE
B06.0†,Rubella with neurological complications Rubella: • encephalitis (G05.1*) • meningitis (G02.0*) • meningoencephalitis (G05.1*),RNC
B06.8,Rubella with other complications Rubella: • arthritis† (M01.4*) • pneumonia† (J17.1*),RCR
B06.9,Rubella without complication Rubella NOS,RWC NOS
B07,Viral warts,VW
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",VIC
B08.0,Other orthopoxvirus infections Cowpox Orf virus disease Pseudocowpox [milker’s node] Vaccinia,OIC
B08.1,Molluscum contagiosum,MC
B08.2,Exanthema subitum [sixth disease],ES
B08.3,Erythema infectiosum [fifth disease],EI
B08.4,"Enteroviral vesicular stomatitis with exanthem Hand, foot and mouth disease",EVS
B08.5,Enteroviral vesicular pharyngitis Herpangina,EVP
B08.8,Other specified viral infections characterized by skin and mucous membrane lesions Enteroviral lymphonodular pharyngitis Foot-and-mouth disease Tanapox virus disease Yaba pox virus disease,VIC
B09,Unspecified viral infection characterized by skin and mucous membrane lesions,VIC NOS
B15,Acute hepatitis A,AHA
B15.0,Hepatitis A with hepatic coma,HAH
B15.9,Hepatitis A without hepatic coma Hepatitis A (acute)(viral) NOS,HAW NOS
B15–B19,• viral toxic liver disease (K71.-),•VT
B16,Acute hepatitis B,AHB
B16.0,Acute hepatitis B with delta-agent (coinfection) with hepatic coma,AHB
B16.1,Acute hepatitis B with delta-agent (coinfection) without hepatic coma,AHB
B16.2,Acute hepatitis B without delta-agent with hepatic coma,AHB
B16.9,Acute hepatitis B without delta-agent and without hepatic coma Acute hepatitis B (viral) NOS,AHB NOS
B17,Other acute viral hepatitis,AVH
B17.0,Acute delta-(super)infection of hepatitis B carrier,ADH
B17.1,Acute hepatitis C,AHC
B17.2,Acute hepatitis E,AHE
B17.8,Other specified acute viral hepatitis Hepatitis non-A non-B (acute)(viral) NEC,AVH
B17.9,"Acute viral hepatitis, unspecified Acute hepatitis NOS Acute infectious hepatitis NOS",AVH NOS
B18,Chronic viral hepatitis,CVH
B18.0,Chronic viral hepatitis B with delta-agent,CVH
B18.1,Chronic viral hepatitis B without delta-agent Hepatitis B (viral) NOS,CVH NOS
B18.2,Chronic viral hepatitis C,CVH
B18.8,Other chronic viral hepatitis,CVH
B18.9,"Chronic viral hepatitis, unspecified",CVH NOS
B19,Unspecified viral hepatitis,VH NOS
B19.0,Unspecified viral hepatitis with hepatic coma,VHH NOS
B19.9,Unspecified viral hepatitis without hepatic coma Viral hepatitis NOS Human immunodeficiency virus [HIV] disease (B20–B24),HIV
B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,HIV
B20.0,HIV disease resulting in mycobacterial infection HIV disease resulting in tuberculosis,TB
B20.1,HIV disease resulting in other bacterial infections,HIV
B20.2,HIV disease resulting in cytomegaloviral disease,HIV
B20.3,HIV disease resulting in other viral infections,HIV
B20.4,HIV disease resulting in candidiasis,HIV
B20.5,HIV disease resulting in other mycoses,HIV
B20.6,HIV disease resulting in Pneumocystis jirovecii pneumonia HIV disease resulting in Pneumocystis carinii pneumonia,HIV
B20.7,HIV disease resulting in multiple infections,HIV
B20.8,HIV disease resulting in other infectious and parasitic diseases,HIV
B20.9,HIV disease resulting in unspecified infectious or parasitic disease HIV disease resulting in infection NOS,HIV
B20–B24,"human immunodeficiency virus [HIV] disease human immunodeficiency virus [HIV] disease complicating pregnancy, childbirth and the puerperium (O98.7) laboratory evidence of human immunodeficiency virus [HIV] (R75)",HIV
B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,HIV
B21.0,HIV disease resulting in Kaposi sarcoma,HIV
B21.1,HIV disease resulting in Burkitt lymphoma,HIV
B21.2,HIV disease resulting in other types of non-Hodgkin lymphoma,HIV
B21.3,"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue",HIV
B21.7,HIV disease resulting in multiple malignant neoplasms,HIV
B21.8,HIV disease resulting in other malignant neoplasms,HIV
